VARIABLE                            VARIABLE DESCRIPTION
subjectID                           subjectID
activityName                        activityName
tBodyAcc-mean()-X                   tBodyAcc-X-MEAN
tBodyAcc-mean()-Y                   tBodyAcc-Y-MEAN
tBodyAcc-mean()-Z                   tBodyAcc-Z-MEAN
tBodyAcc-std()-X                    tBodyAcc-X-STD
tBodyAcc-std()-Y                    tBodyAcc-Y-STD
tBodyAcc-std()-Z                    tBodyAcc-Z-STD
tGravityAcc-mean()-X                tGravityAcc-X-MEAN
tGravityAcc-mean()-Y                tGravityAcc-Y-MEAN
tGravityAcc-mean()-Z                tGravityAcc-Z-MEAN
tGravityAcc-std()-X                 tGravityAcc-X-STD
tGravityAcc-std()-Y                 tGravityAcc-Y-STD
tGravityAcc-std()-Z                 tGravityAcc-Z-STD
tBodyAccJerk-mean()-X               tBodyAccJerk-X-MEAN
tBodyAccJerk-mean()-Y               tBodyAccJerk-Y-MEAN
tBodyAccJerk-mean()-Z               tBodyAccJerk-Z-MEAN
tBodyAccJerk-std()-X                tBodyAccJerk-X-STD
tBodyAccJerk-std()-Y                tBodyAccJerk-Y-STD
tBodyAccJerk-std()-Z                tBodyAccJerk-Z-STD
tBodyGyro-mean()-X                  tBodyGyro-X-MEAN
tBodyGyro-mean()-Y                  tBodyGyro-Y-MEAN
tBodyGyro-mean()-Z                  tBodyGyro-Z-MEAN
tBodyGyro-std()-X                   tBodyGyro-X-STD
tBodyGyro-std()-Y                   tBodyGyro-Y-STD
tBodyGyro-std()-Z                   tBodyGyro-Z-STD
tBodyGyroJerk-mean()-X              tBodyGyroJerk-X-MEAN
tBodyGyroJerk-mean()-Y              tBodyGyroJerk-Y-MEAN
tBodyGyroJerk-mean()-Z              tBodyGyroJerk-Z-MEAN
tBodyGyroJerk-std()-X               tBodyGyroJerk-X-STD
tBodyGyroJerk-std()-Y               tBodyGyroJerk-Y-STD
tBodyGyroJerk-std()-Z               tBodyGyroJerk-Z-STD
tBodyAccMag-mean()                  tBodyAccMag-MEAN
tBodyAccMag-std()                   tBodyAccMag-STD
tGravityAccMag-mean()               tGravityAccMag-MEAN
tGravityAccMag-std()                tGravityAccMag-STD
tBodyAccJerkMag-mean()              tBodyAccJerkMag-MEAN
tBodyAccJerkMag-std()               tBodyAccJerkMag-STD
tBodyGyroMag-mean()                 tBodyGyroMag-MEAN
tBodyGyroMag-std()                  tBodyGyroMag-STD
tBodyGyroJerkMag-mean()             tBodyGyroJerkMag-MEAN
tBodyGyroJerkMag-std()              tBodyGyroJerkMag-STD
fBodyAcc-mean()-X                   fBodyAcc-X-MEAN
fBodyAcc-mean()-Y                   fBodyAcc-Y-MEAN
fBodyAcc-mean()-Z                   fBodyAcc-Z-MEAN
fBodyAcc-std()-X                    fBodyAcc-X-STD
fBodyAcc-std()-Y                    fBodyAcc-Y-STD
fBodyAcc-std()-Z                    fBodyAcc-Z-STD
fBodyAccJerk-mean()-X               fBodyAccJerk-X-MEAN
fBodyAccJerk-mean()-Y               fBodyAccJerk-Y-MEAN
fBodyAccJerk-mean()-Z               fBodyAccJerk-Z-MEAN
fBodyAccJerk-std()-X                fBodyAccJerk-X-STD
fBodyAccJerk-std()-Y                fBodyAccJerk-Y-STD
fBodyAccJerk-std()-Z                fBodyAccJerk-Z-STD
fBodyGyro-mean()-X                  fBodyGyro-X-MEAN
fBodyGyro-mean()-Y                  fBodyGyro-Y-MEAN
fBodyGyro-mean()-Z                  fBodyGyro-Z-MEAN
fBodyGyro-std()-X                   fBodyGyro-X-STD
fBodyGyro-std()-Y                   fBodyGyro-Y-STD
fBodyGyro-std()-Z                   fBodyGyro-Z-STD
fBodyAccMag-mean()                  fBodyAccMag-MEAN
fBodyAccMag-std()                   fBodyAccMag-STD
fBodyBodyAccJerkMag-mean()          fBodyBodyAccJerkMag-MEAN
fBodyBodyAccJerkMag-std()           fBodyBodyAccJerkMag-STD
fBodyBodyGyroMag-mean()             fBodyBodyGyroMag-MEAN
fBodyBodyGyroMag-std()              fBodyBodyGyroMag-STD
fBodyBodyGyroJerkMag-mean()         fBodyBodyGyroJerkMag-MEAN
fBodyBodyGyroJerkMag-std()          fBodyBodyGyroJerkMag-STD
